Date,Product_ID,Product_Category,Units_Sold,Unit_Price,Total_Revenue,Stock_Level
2023-01-13,101,Electronics,2,319.26,638.52,64
2023-01-13,102,Electronics,44,399.6,17582.6,118
2023-01-13,103,Electronics,22,106.53,2343.59,119
2023-01-13,201,Clothing,18,194.89,3507.93,78
2023-01-13,202,Clothing,2,256.58,513.15,170
2023-01-13,203,Clothing,39,283.83,11069.33,76
2023-01-13,301,Groceries,13,29.09,378.14,119
2023-01-13,302,Groceries,36,14.48,521.17,101
2023-01-13,303,Groceries,16,5.47,87.45,196
2023-01-14,101,Electronics,5,247.94,1239.69,103
2023-01-14,102,Electronics,5,302.28,1511.41,38
2023-01-14,103,Electronics,24,225.29,5407.07,66
2023-01-14,201,Clothing,8,496.42,3971.34,42
2023-01-14,202,Clothing,49,90.22,4420.98,181
2023-01-14,203,Clothing,20,305.32,6106.47,153
2023-01-14,301,Groceries,17,40.15,682.54,164
2023-01-14,302,Groceries,37,45.72,1691.55,130
2023-01-14,303,Groceries,24,5.39,129.39,85
2023-01-15,101,Electronics,4,309.97,1239.88,194
2023-01-15,102,Electronics,10,264.76,2647.55,91
2023-01-15,103,Electronics,15,186.84,2802.63,57
2023-01-15,201,Clothing,14,472.88,6620.37,61
2023-01-15,202,Clothing,23,168.78,3881.83,124
2023-01-15,203,Clothing,6,26.29,157.76,25
2023-01-15,301,Groceries,30,34.14,1024.14,193
2023-01-15,302,Groceries,20,33.82,676.34,9
2023-01-15,303,Groceries,39,35.85,1398.14,36
2023-01-16,101,Electronics,46,236.62,10884.55,28
2023-01-16,102,Electronics,17,315.24,5359.02,35
2023-01-16,103,Electronics,41,92.9,3808.81,0
2023-01-16,201,Clothing,27,305.43,8246.68,85
2023-01-16,202,Clothing,35,325.06,11377.24,142
2023-01-16,203,Clothing,46,307.2,14131.41,181
2023-01-16,301,Groceries,25,30.79,769.79,191
2023-01-16,302,Groceries,50,18.96,947.76,22
2023-01-16,303,Groceries,19,18.29,347.48,46
2023-01-17,101,Electronics,36,392.63,14134.54,84
2023-01-17,102,Electronics,16,178.66,2858.59,138
2023-01-17,103,Electronics,28,445.67,12478.75,7
2023-01-17,201,Clothing,10,332.65,3326.5,194
2023-01-17,202,Clothing,8,353.89,2831.08,43
2023-01-17,203,Clothing,26,446.14,11599.77,13
2023-01-17,301,Groceries,1,43.47,43.47,30
2023-01-17,302,Groceries,12,43.56,522.71,66
2023-01-17,303,Groceries,40,18.97,758.71,186
2023-01-18,101,Electronics,15,352.68,5290.23,37
2023-01-18,102,Electronics,16,120.57,1929.18,148
2023-01-18,103,Electronics,6,147.17,883.01,7
2023-01-18,201,Clothing,2,262.73,525.46,47
2023-01-18,202,Clothing,17,449.55,7642.42,7
2023-01-18,203,Clothing,8,163.28,1306.25,134
2023-01-18,301,Groceries,14,28.9,404.61,35
2023-01-18,302,Groceries,12,14.12,169.39,23
2023-01-18,303,Groceries,14,48.19,674.66,115
2023-01-19,101,Electronics,1,190.32,190.32,87
2023-01-19,102,Electronics,22,21.0,462.05,26
2023-01-19,103,Electronics,32,215.26,6888.41,41
2023-01-19,201,Clothing,19,133.35,2533.57,57
2023-01-19,202,Clothing,18,216.75,3901.41,57
2023-01-19,203,Clothing,30,480.3,14409.0,32
2023-01-19,301,Groceries,34,8.22,279.45,188
2023-01-19,302,Groceries,4,6.31,25.22,111
2023-01-19,303,Groceries,16,21.15,338.37,46
2023-01-20,101,Electronics,45,312.75,14073.64,182
2023-01-20,102,Electronics,19,429.99,8169.83,89
2023-01-20,103,Electronics,1,302.73,302.73,155
2023-01-20,201,Clothing,46,79.29,3647.26,130
2023-01-20,202,Clothing,31,454.3,14083.22,171
2023-01-20,203,Clothing,19,178.17,3385.17,178
2023-01-20,301,Groceries,27,13.51,364.9,60
2023-01-20,302,Groceries,38,41.28,1568.49,127
2023-01-20,303,Groceries,45,25.55,1149.79,101
2023-01-21,101,Electronics,37,246.71,9128.16,94
2023-01-21,102,Electronics,20,375.43,7508.65,188
2023-01-21,103,Electronics,12,444.64,5335.66,99
2023-01-21,201,Clothing,44,243.87,10730.16,102
2023-01-21,202,Clothing,36,454.73,16370.18,0
2023-01-21,203,Clothing,2,451.97,903.95,182
2023-01-21,301,Groceries,19,25.11,477.05,152
2023-01-21,302,Groceries,17,45.64,775.85,65
2023-01-21,303,Groceries,26,15.93,414.23,154
2023-01-22,101,Electronics,23,205.45,4725.44,44
2023-01-22,102,Electronics,31,115.82,3590.49,6
2023-01-22,103,Electronics,30,325.62,9768.73,88
2023-01-22,201,Clothing,31,68.41,2120.63,119
2023-01-22,202,Clothing,28,64.17,1796.72,150
2023-01-22,203,Clothing,47,341.15,16034.15,32
2023-01-22,301,Groceries,32,22.47,718.91,186
2023-01-22,302,Groceries,11,8.48,93.33,105
2023-01-22,303,Groceries,27,5.16,139.26,43
2023-01-23,101,Electronics,28,333.6,9340.92,103
2023-01-23,102,Electronics,14,261.67,3663.38,79
2023-01-23,103,Electronics,34,218.9,7442.65,188
2023-01-23,201,Clothing,30,338.65,10159.61,151
2023-01-23,202,Clothing,26,38.89,1011.07,147
2023-01-23,203,Clothing,49,328.07,16075.43,187
2023-01-23,301,Groceries,2,32.89,65.77,133
2023-01-23,302,Groceries,9,30.65,275.86,184
2023-01-23,303,Groceries,19,17.31,328.84,40
2023-01-24,101,Electronics,20,401.36,8027.29,191
2023-01-24,102,Electronics,2,313.55,627.1,188
2023-01-24,103,Electronics,21,197.47,4146.94,178
2023-01-24,201,Clothing,21,367.58,7719.27,118
2023-01-24,202,Clothing,31,494.33,15324.19,159
2023-01-24,203,Clothing,37,59.67,2207.77,113
2023-01-24,301,Groceries,20,37.05,741.04,149
2023-01-24,302,Groceries,49,19.98,979.19,38
2023-01-24,303,Groceries,46,35.06,1612.74,146
2023-01-25,101,Electronics,42,16.22,681.11,124
2023-01-25,102,Electronics,35,353.82,12383.59,170
2023-01-25,103,Electronics,7,380.36,2662.52,79
2023-01-25,201,Clothing,29,173.98,5045.29,41
2023-01-25,202,Clothing,26,64.83,1685.57,140
2023-01-25,203,Clothing,20,131.95,2639.02,170
2023-01-25,301,Groceries,5,30.92,154.62,167
2023-01-25,302,Groceries,25,8.61,215.17,55
2023-01-25,303,Groceries,19,14.46,274.74,29
2023-01-26,101,Electronics,24,254.86,6116.67,128
2023-01-26,102,Electronics,14,194.05,2716.66,5
2023-01-26,103,Electronics,28,311.86,8731.99,58
2023-01-26,201,Clothing,19,221.66,4211.55,186
2023-01-26,202,Clothing,17,247.64,4209.93,180
2023-01-26,203,Clothing,30,59.51,1785.29,71
2023-01-26,301,Groceries,28,26.88,752.59,24
2023-01-26,302,Groceries,44,27.55,1212.25,99
2023-01-26,303,Groceries,34,31.31,1064.58,26
2023-01-27,101,Electronics,30,10.17,304.96,190
2023-01-27,102,Electronics,9,448.06,4032.57,171
2023-01-27,103,Electronics,17,224.05,3808.84,54
2023-01-27,201,Clothing,22,493.1,10848.14,16
2023-01-27,202,Clothing,40,336.93,13477.32,138
2023-01-27,203,Clothing,14,181.81,2545.4,108
2023-01-27,301,Groceries,20,5.42,108.46,171
2023-01-27,302,Groceries,1,28.22,28.22,119
2023-01-27,303,Groceries,9,48.96,440.66,60
2023-01-28,101,Electronics,30,204.62,6138.59,180
2023-01-28,102,Electronics,47,53.7,2524.03,65
2023-01-28,103,Electronics,6,312.45,1874.69,160
2023-01-28,201,Clothing,40,363.27,14530.93,13
2023-01-28,202,Clothing,29,70.95,2057.61,185
2023-01-28,203,Clothing,23,65.49,1506.23,140
2023-01-28,301,Groceries,26,47.78,1242.23,31
2023-01-28,302,Groceries,14,15.78,220.88,150
2023-01-28,303,Groceries,17,29.64,503.87,135
2023-01-29,101,Electronics,29,411.97,11947.04,1
2023-01-29,102,Electronics,26,216.58,5630.98,152
2023-01-29,103,Electronics,44,202.47,8908.85,146
2023-01-29,201,Clothing,8,353.56,2828.51,173
2023-01-29,202,Clothing,27,109.61,2959.47,2
2023-01-29,203,Clothing,19,69.74,1325.05,145
2023-01-29,301,Groceries,15,27.92,418.73,130
2023-01-29,302,Groceries,3,28.82,86.47,66
2023-01-29,303,Groceries,1,22.64,22.64,141
2023-01-30,101,Electronics,10,187.73,1877.34,156
2023-01-30,102,Electronics,25,415.55,10388.77,133
2023-01-30,103,Electronics,19,231.4,4396.6,86
2023-01-30,201,Clothing,19,34.35,652.74,107
2023-01-30,202,Clothing,42,268.69,11285.05,126
2023-01-30,203,Clothing,23,210.42,4839.63,193
2023-01-30,301,Groceries,14,29.41,411.69,192
2023-01-30,302,Groceries,21,21.71,455.86,178
2023-01-30,303,Groceries,7,46.44,325.11,139
2023-01-31,101,Electronics,39,71.77,2799.1,70
2023-01-31,102,Electronics,32,371.86,11899.58,44
2023-01-31,103,Electronics,37,26.04,963.64,81
2023-01-31,201,Clothing,2,84.91,169.82,50
2023-01-31,202,Clothing,25,443.81,11095.28,129
2023-01-31,203,Clothing,46,384.67,17694.6,154
2023-01-31,301,Groceries,35,42.24,1478.27,47
2023-01-31,302,Groceries,16,20.61,329.83,199
2023-01-31,303,Groceries,43,13.79,593.03,199
2023-02-01,101,Electronics,24,207.23,4973.44,56
2023-02-01,102,Electronics,41,445.06,18247.63,186
2023-02-01,103,Electronics,15,293.15,4397.23,65
2023-02-01,201,Clothing,9,188.26,1694.32,87
2023-02-01,202,Clothing,41,167.84,6881.27,61
2023-02-01,203,Clothing,32,469.42,15021.49,100
2023-02-01,301,Groceries,47,47.23,2219.77,125
2023-02-01,302,Groceries,9,10.43,93.91,175
2023-02-01,303,Groceries,38,37.15,1411.75,67
2023-02-02,101,Electronics,10,425.87,4258.65,88
2023-02-02,102,Electronics,25,140.16,3503.89,24
2023-02-02,103,Electronics,37,200.78,7428.95,75
2023-02-02,201,Clothing,16,451.16,7218.51,92
2023-02-02,202,Clothing,18,220.56,3970.08,149
2023-02-02,203,Clothing,3,172.03,516.09,154
2023-02-02,301,Groceries,35,23.14,809.89,59
2023-02-02,302,Groceries,26,36.96,960.89,66
2023-02-02,303,Groceries,42,29.97,1258.58,29
2023-02-03,101,Electronics,6,128.96,773.73,144
2023-02-03,102,Electronics,47,78.76,3701.62,65
2023-02-03,103,Electronics,26,138.82,3609.31,0
2023-02-03,201,Clothing,34,52.38,1781.06,168
2023-02-03,202,Clothing,2,54.05,108.09,140
2023-02-03,203,Clothing,30,238.71,7161.31,42
2023-02-03,301,Groceries,1,33.05,33.05,21
2023-02-03,302,Groceries,21,47.91,1006.01,155
2023-02-03,303,Groceries,7,49.58,347.07,14
2023-02-04,101,Electronics,9,38.03,342.29,128
2023-02-04,102,Electronics,38,419.11,15926.34,163
2023-02-04,103,Electronics,10,108.61,1086.1,90
2023-02-04,201,Clothing,3,442.89,1328.66,37
2023-02-04,202,Clothing,31,320.96,9949.73,54
2023-02-04,203,Clothing,33,218.69,7216.79,58
2023-02-04,301,Groceries,17,26.52,450.85,199
2023-02-04,302,Groceries,29,29.84,865.25,72
2023-02-04,303,Groceries,18,32.76,589.7,57
2023-02-05,101,Electronics,38,268.31,10195.82,161
2023-02-05,102,Electronics,31,343.94,10662.02,45
2023-02-05,103,Electronics,7,424.85,2973.98,108
2023-02-05,201,Clothing,31,222.53,6898.56,32
2023-02-05,202,Clothing,23,207.63,4775.5,199
2023-02-05,203,Clothing,17,354.68,6029.52,159
2023-02-05,301,Groceries,37,16.17,598.23,56
2023-02-05,302,Groceries,9,6.0,53.96,21
2023-02-05,303,Groceries,5,46.09,230.46,78
2023-02-06,101,Electronics,20,275.3,5506.04,20
2023-02-06,102,Electronics,46,410.69,18891.68,74
2023-02-06,103,Electronics,41,132.55,5434.45,114
2023-02-06,201,Clothing,47,87.54,4114.51,168
2023-02-06,202,Clothing,40,173.72,6948.66,6
2023-02-06,203,Clothing,19,54.51,1035.62,55
2023-02-06,301,Groceries,40,45.12,1804.98,135
2023-02-06,302,Groceries,10,48.87,488.7,65
2023-02-06,303,Groceries,42,36.85,1547.9,177
2023-02-07,101,Electronics,36,131.64,4739.12,130
2023-02-07,102,Electronics,34,170.0,5780.09,11
2023-02-07,103,Electronics,3,422.65,1267.96,39
2023-02-07,201,Clothing,49,458.6,22471.57,61
2023-02-07,202,Clothing,40,309.19,12367.6,121
2023-02-07,203,Clothing,24,75.02,1800.38,67
2023-02-07,301,Groceries,47,39.85,1872.78,140
2023-02-07,302,Groceries,35,5.44,190.47,25
2023-02-07,303,Groceries,39,39.19,1528.51,42
2023-02-08,101,Electronics,33,325.68,10747.33,30
2023-02-08,102,Electronics,24,43.71,1049.02,179
2023-02-08,103,Electronics,13,296.09,3849.23,47
2023-02-08,201,Clothing,37,442.56,16374.9,3
2023-02-08,202,Clothing,34,211.42,7188.13,136
2023-02-08,203,Clothing,34,295.66,10052.34,30
2023-02-08,301,Groceries,4,22.32,89.28,169
2023-02-08,302,Groceries,40,7.55,301.98,153
2023-02-08,303,Groceries,49,39.14,1917.85,100
2023-02-09,101,Electronics,48,146.88,7050.19,182
2023-02-09,102,Electronics,28,424.85,11895.68,115
2023-02-09,103,Electronics,43,447.0,19220.86,2
2023-02-09,201,Clothing,20,230.41,4608.26,200
2023-02-09,202,Clothing,44,348.48,15332.97,23
2023-02-09,203,Clothing,23,386.98,8900.54,95
2023-02-09,301,Groceries,17,23.04,391.72,130
2023-02-09,302,Groceries,25,19.08,476.89,150
2023-02-09,303,Groceries,50,7.99,399.6,3
2023-02-10,101,Electronics,14,353.75,4952.45,0
2023-02-10,102,Electronics,10,455.58,4555.78,152
2023-02-10,103,Electronics,19,303.91,5774.35,60
2023-02-10,201,Clothing,47,336.02,15793.16,58
2023-02-10,202,Clothing,1,335.24,335.24,15
2023-02-10,203,Clothing,14,183.92,2574.82,70
2023-02-10,301,Groceries,25,39.0,974.98,69
2023-02-10,302,Groceries,5,13.65,68.23,78
2023-02-10,303,Groceries,16,33.83,541.24,93
2023-02-11,101,Electronics,37,374.38,13852.05,86
2023-02-11,102,Electronics,34,448.12,15236.17,140
2023-02-11,103,Electronics,10,58.21,582.06,3
2023-02-11,201,Clothing,17,94.95,1614.21,114
2023-02-11,202,Clothing,46,285.85,13149.01,151
2023-02-11,203,Clothing,42,406.18,17059.37,54
2023-02-11,301,Groceries,44,26.18,1151.83,81
2023-02-11,302,Groceries,50,28.5,1424.97,50
2023-02-11,303,Groceries,20,19.86,397.14,168
2023-02-12,101,Electronics,42,275.85,11585.88,130
2023-02-12,102,Electronics,29,447.24,12969.97,115
2023-02-12,103,Electronics,27,263.28,7108.63,13
2023-02-12,201,Clothing,46,238.49,10970.32,51
2023-02-12,202,Clothing,40,378.08,15123.11,138
2023-02-12,203,Clothing,26,54.1,1406.64,114
2023-02-12,301,Groceries,45,17.72,797.27,133
2023-02-12,302,Groceries,4,22.48,89.91,140
2023-02-12,303,Groceries,27,20.83,562.53,19
2023-02-13,101,Electronics,16,173.97,2783.54,189
2023-02-13,102,Electronics,30,174.23,5227.02,7
2023-02-13,103,Electronics,17,309.35,5258.93,19
2023-02-13,201,Clothing,14,468.43,6558.03,63
2023-02-13,202,Clothing,32,444.89,14236.6,125
2023-02-13,203,Clothing,43,87.23,3750.93,109
2023-02-13,301,Groceries,2,48.02,96.04,181
2023-02-13,302,Groceries,33,14.33,472.85,124
2023-02-13,303,Groceries,49,20.36,997.46,162
2023-02-14,101,Electronics,29,398.06,11543.8,134
2023-02-14,102,Electronics,12,29.71,356.55,34
2023-02-14,103,Electronics,48,316.37,15185.98,77
2023-02-14,201,Clothing,43,91.72,3943.79,132
2023-02-14,202,Clothing,49,321.93,15774.69,141
2023-02-14,203,Clothing,15,107.21,1608.13,131
2023-02-14,301,Groceries,10,31.89,318.88,2
2023-02-14,302,Groceries,36,30.25,1089.14,128
2023-02-14,303,Groceries,13,46.61,605.91,73
2023-02-15,101,Electronics,24,398.49,9563.71,113
2023-02-15,102,Electronics,34,240.21,8167.18,193
2023-02-15,103,Electronics,28,295.93,8286.12,142
2023-02-15,201,Clothing,39,480.73,18748.48,23
2023-02-15,202,Clothing,48,53.68,2576.42,18
2023-02-15,203,Clothing,9,327.2,2944.82,112
2023-02-15,301,Groceries,48,30.15,1447.09,61
2023-02-15,302,Groceries,38,17.15,651.7,130
2023-02-15,303,Groceries,24,28.86,692.67,10
2023-02-16,101,Electronics,33,217.65,7182.47,1
2023-02-16,102,Electronics,43,388.08,16687.49,72
2023-02-16,103,Electronics,31,283.62,8792.07,87
2023-02-16,201,Clothing,44,388.05,17074.35,145
2023-02-16,202,Clothing,42,433.84,18221.11,138
2023-02-16,203,Clothing,2,178.71,357.42,65
2023-02-16,301,Groceries,19,30.09,571.79,165
2023-02-16,302,Groceries,43,28.72,1234.86,154
2023-02-16,303,Groceries,23,41.09,945.0,7
2023-02-17,101,Electronics,5,196.56,982.79,170
2023-02-17,102,Electronics,14,403.51,5649.15,101
2023-02-17,103,Electronics,20,26.91,538.13,183
2023-02-17,201,Clothing,44,278.07,12235.03,47
2023-02-17,202,Clothing,23,212.11,4878.52,17
2023-02-17,203,Clothing,5,122.07,610.34,145
2023-02-17,301,Groceries,22,42.75,940.41,147
2023-02-17,302,Groceries,48,8.38,402.16,104
2023-02-17,303,Groceries,48,8.32,399.18,174
2023-02-18,101,Electronics,10,179.88,1798.81,45
2023-02-18,102,Electronics,50,183.7,9185.12,153
2023-02-18,103,Electronics,3,363.04,1089.11,71
2023-02-18,201,Clothing,25,377.75,9443.69,81
2023-02-18,202,Clothing,39,169.42,6607.44,57
2023-02-18,203,Clothing,43,21.56,927.19,29
2023-02-18,301,Groceries,11,20.95,230.4,179
2023-02-18,302,Groceries,46,19.08,877.87,132
2023-02-18,303,Groceries,45,5.0,225.11,126
2023-02-19,101,Electronics,34,132.42,4502.42,143
2023-02-19,102,Electronics,39,44.72,1743.97,36
2023-02-19,103,Electronics,47,340.12,15985.64,93
2023-02-19,201,Clothing,30,402.58,12077.47,168
2023-02-19,202,Clothing,27,484.16,13072.19,195
2023-02-19,203,Clothing,45,76.77,3454.48,150
2023-02-19,301,Groceries,50,19.11,955.64,24
2023-02-19,302,Groceries,28,7.36,205.96,99
2023-02-19,303,Groceries,34,19.72,670.34,94
2023-02-20,101,Electronics,8,334.2,2673.57,198
2023-02-20,102,Electronics,6,473.26,2839.58,50
2023-02-20,103,Electronics,31,297.55,9223.93,198
2023-02-20,201,Clothing,39,395.67,15431.2,102
2023-02-20,202,Clothing,17,296.7,5043.94,117
2023-02-20,203,Clothing,36,99.39,3578.18,150
2023-02-20,301,Groceries,49,6.12,299.8,37
2023-02-20,302,Groceries,17,24.23,411.84,133
2023-02-20,303,Groceries,6,37.2,223.23,5
2023-02-21,101,Electronics,42,465.63,19556.32,32
2023-02-21,102,Electronics,7,217.35,1521.43,64
2023-02-21,103,Electronics,43,169.05,7269.23,64
2023-02-21,201,Clothing,43,486.82,20933.32,56
2023-02-21,202,Clothing,50,342.72,17135.88,157
2023-02-21,203,Clothing,27,177.77,4799.71,154
2023-02-21,301,Groceries,3,6.62,19.85,88
2023-02-21,302,Groceries,21,18.46,387.62,158
2023-02-21,303,Groceries,17,10.32,175.36,36
2023-02-22,101,Electronics,31,279.56,8666.22,119
2023-02-22,102,Electronics,11,412.97,4542.64,0
2023-02-22,103,Electronics,26,379.93,9878.21,30
2023-02-22,201,Clothing,27,254.9,6882.43,61
2023-02-22,202,Clothing,12,15.27,183.29,193
2023-02-22,203,Clothing,30,429.54,12886.27,143
2023-02-22,301,Groceries,16,23.5,376.04,150
2023-02-22,302,Groceries,38,42.4,1611.38,51
2023-02-22,303,Groceries,33,20.1,663.33,43
2023-02-23,101,Electronics,47,210.88,9911.16,95
2023-02-23,102,Electronics,21,34.23,718.9,24
2023-02-23,103,Electronics,45,300.34,13515.28,57
2023-02-23,201,Clothing,27,445.36,12024.8,195
2023-02-23,202,Clothing,38,459.29,17453.06,161
2023-02-23,203,Clothing,8,496.58,3972.66,163
2023-02-23,301,Groceries,2,39.14,78.29,96
2023-02-23,302,Groceries,22,29.55,650.12,112
2023-02-23,303,Groceries,20,9.13,182.56,22
2023-02-24,101,Electronics,48,139.32,6687.58,119
2023-02-24,102,Electronics,27,456.44,12323.99,178
2023-02-24,103,Electronics,20,117.65,2352.91,43
2023-02-24,201,Clothing,15,361.02,5415.23,30
2023-02-24,202,Clothing,17,99.63,1693.7,37
2023-02-24,203,Clothing,42,330.16,13866.9,195
2023-02-24,301,Groceries,45,19.48,876.44,185
2023-02-24,302,Groceries,44,7.46,328.03,146
2023-02-24,303,Groceries,39,33.68,1313.7,50
2023-02-25,101,Electronics,48,94.15,4519.3,154
2023-02-25,102,Electronics,30,28.22,846.6,64
2023-02-25,103,Electronics,12,36.58,438.93,192
2023-02-25,201,Clothing,43,385.29,16567.31,158
2023-02-25,202,Clothing,4,429.78,1719.12,171
2023-02-25,203,Clothing,39,145.24,5664.51,62
2023-02-25,301,Groceries,20,27.76,555.21,2
2023-02-25,302,Groceries,49,35.93,1760.57,199
2023-02-25,303,Groceries,43,6.72,289.15,103
2023-02-26,101,Electronics,39,110.8,4321.14,48
2023-02-26,102,Electronics,18,279.14,5024.44,180
2023-02-26,103,Electronics,33,351.51,11599.83,170
2023-02-26,201,Clothing,19,229.93,4368.62,86
2023-02-26,202,Clothing,42,227.94,9573.55,2
2023-02-26,203,Clothing,10,372.38,3723.77,149
2023-02-26,301,Groceries,19,47.89,910.0,41
2023-02-26,302,Groceries,36,20.64,742.94,107
2023-02-26,303,Groceries,48,7.3,350.61,113
2023-02-27,101,Electronics,21,385.21,8089.46,4
2023-02-27,102,Electronics,44,275.04,12101.56,17
2023-02-27,103,Electronics,40,427.27,17090.67,168
2023-02-27,201,Clothing,47,28.49,1338.93,188
2023-02-27,202,Clothing,25,432.99,10824.64,70
2023-02-27,203,Clothing,46,25.21,1159.83,196
2023-02-27,301,Groceries,13,15.83,205.83,31
2023-02-27,302,Groceries,46,19.48,895.96,147
